ccr vs google,Comparison Object:,Levenshtein Distance Minima,LDM Sum,Matching Suggestions Sum
ccr vs google,MLB,[3. 3. 3. 3. 3. 3. 3. 3. 3. 3.],30.0,0
ccr vs google,a380,[3. 3. 3. 3. 3. 3. 3. 3. 3. 3.],30.0,0
ccr vs google,aac,[3. 3. 3. 3. 3. 3. 3. 3. 3. 3.],30.0,0
ccr vs google,ben hur,[7. 7. 7. 7. 7. 7. 7. 7. 7. 7.],70.0,0
ccr vs google,c,[0. 3. 0. 3. 4. 3. 3. 4. 3. 5.],28.0,2
ccr vs google,coal,[5. 0. 5. 0. 5. 8. 4. 4. 4. 3.],38.0,2
ccr vs google,concrete,[0. 0. 0. 6. 8. 7. 5. 5. 5. 4.],40.0,3
ccr vs google,earth,[3. 0. 4. 4. 7. 5. 6. 5. 4. 3.],41.0,1
ccr vs google,galaxy s4,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],20.0,0
ccr vs google,germany,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,10
ccr vs google,gold,[0. 4. 2. 5. 5. 5. 4. 4. 4. 5.],38.0,1
ccr vs google,hamburg,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,10
ccr vs google,iron,[0. 5. 6. 5. 6. 0. 3. 3. 5. 6.],39.0,2
ccr vs google,java,[1. 0. 4. 4. 5. 6. 5. 3. 8. 5.],41.0,1
ccr vs google,lion,[0. 5. 0. 4. 0. 5. 3. 4. 2. 3.],26.0,3
ccr vs google,maple,[6. 6. 5. 6. 5. 7. 5. 6. 5. 8.],59.0,0
ccr vs google,metal,[6. 3. 7. 3. 5. 5. 2. 3. 6. 0.],40.0,1
ccr vs google,milk,[2. 3. 3. 2. 4. 0. 4. 0. 5. 3.],26.0,2
ccr vs google,model s,[3. 3. 3. 3. 3. 3. 3. 3. 3. 3.],30.0,0
ccr vs google,pennsylvania,[4. 4. 4. 4. 4. 4. 4. 4. 4. 4.],40.0,0
ccr vs google,petrol,[0. 6. 5. 3. 3. 3. 3. 3. 3. 3.],32.0,1
ccr vs google,plywood,[5. 0. 5. 3. 3. 3. 3. 3. 3. 3.],31.0,1
ccr vs google,poland,[5. 5. 5. 5. 5. 5. 5. 5. 5. 5.],50.0,0
ccr vs google,porcelain,[0. 4. 5. 1. 0. 4. 6. 6. 6. 6.],38.0,2
ccr vs google,python,[0. 0. 3. 7. 3. 2. 4. 7. 4. 2.],32.0,2
ccr vs google,rowing,[3. 3. 7. 7. 7. 7. 7. 7. 7. 7.],62.0,0
ccr vs google,steel,[0. 3. 5. 4. 5. 4. 4. 6. 3. 7.],41.0,1
ccr vs google,swimming,[0. 6. 6. 3. 6. 4. 4. 5. 6. 2.],42.0,1
ccr vs google,usa,[3. 0. 4. 1. 0. 6. 5. 2. 4. 6.],31.0,2
ccr vs google,walnut,[3. 7. 7. 4. 1. 3. 3. 3. 3. 3.],37.0,0
ccr vs google,wii u,[3. 3. 3. 3. 3. 3. 3. 3. 3. 3.],30.0,0
ccr vs google,windows 7,[3. 3. 3. 3. 3. 3. 3. 3. 3. 3.],30.0,0
